2024-10-03 17:14:09,458 - my_logger - DEBUG - Rank 9: R0 :t0, hTrue; R1 :t0, hTrue; R2 :t0, hTrue; R3 :t0, hTrue; R4 :t0, hTrue; R5 :t0, hTrue; R6 :t0, hTrue; R7 :t0, hTrue; R8 :t0, hTrue; R9 :t1, hTrue; R10 :t0, hTrue; R11 :t0, hTrue; R12 :t0, hTrue; R13 :t0, hTrue; R14 :t0, hTrue; R15 :t0, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 17:14:11,658 - my_logger - DEBUG - Rank 9: R0 :t12, hTrue; R1 :t0, hTrue; R2 :t12, hTrue; R3 :t27, hTrue; R4 :t27, hTrue; R5 :t30, hTrue; R6 :t27, hTrue; R7 :t27, hTrue; R8 :t30, hTrue; R9 :t50, hTrue; R10 :t27, hTrue; R11 :t27, hTrue; R12 :t27, hTrue; R13 :t12, hTrue; R14 :t51, hTrue; R15 :t27, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 17:14:13,694 - my_logger - DEBUG - Rank 9: R0 :t12, hTrue; R1 :t0, hTrue; R2 :t20, hTrue; R3 :t51, hTrue; R4 :t51, hTrue; R5 :t30, hTrue; R6 :t27, hTrue; R7 :t64, hTrue; R8 :t67, hTrue; R9 :t99, hTrue; R10 :t64, hTrue; R11 :t88, hTrue; R12 :t64, hTrue; R13 :t64, hTrue; R14 :t101, hTrue; R15 :t64, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 17:14:15,760 - my_logger - DEBUG - Rank 9: R0 :t27, hTrue; R1 :t20, hTrue; R2 :t27, hTrue; R3 :t101, hTrue; R4 :t101, hTrue; R5 :t67, hTrue; R6 :t64, hTrue; R7 :t101, hTrue; R8 :t138, hTrue; R9 :t148, hTrue; R10 :t101, hTrue; R11 :t101, hTrue; R12 :t101, hTrue; R13 :t101, hTrue; R14 :t101, hTrue; R15 :t101, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 17:14:18,034 - my_logger - DEBUG - Rank 9: R0 :t64, hTrue; R1 :t51, hTrue; R2 :t88, hTrue; R3 :t175, hTrue; R4 :t175, hTrue; R5 :t138, hTrue; R6 :t138, hTrue; R7 :t175, hTrue; R8 :t178, hTrue; R9 :t197, hTrue; R10 :t175, hTrue; R11 :t175, hTrue; R12 :t175, hTrue; R13 :t175, hTrue; R14 :t199, hTrue; R15 :t175, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 17:14:20,450 - my_logger - DEBUG - Rank 9: R0 :t101, hTrue; R1 :t101, hTrue; R2 :t125, hTrue; R3 :t212, hTrue; R4 :t212, hTrue; R5 :t215, hTrue; R6 :t212, hTrue; R7 :t249, hTrue; R8 :t249, hTrue; R9 :t246, hTrue; R10 :t249, hTrue; R11 :t249, hTrue; R12 :t236, hTrue; R13 :t236, hTrue; R14 :t249, hTrue; R15 :t249, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 17:14:22,827 - my_logger - DEBUG - Rank 9: R0 :t138, hTrue; R1 :t138, hTrue; R2 :t138, hTrue; R3 :t249, hTrue; R4 :t249, hTrue; R5 :t249, hTrue; R6 :t249, hTrue; R7 :t249, hTrue; R8 :t249, hTrue; R9 :t295, hTrue; R10 :t249, hTrue; R11 :t249, hTrue; R12 :t249, hTrue; R13 :t249, hTrue; R14 :t249, hTrue; R15 :t249, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 17:14:25,191 - my_logger - DEBUG - Rank 9: R0 :t138, hTrue; R1 :t162, hTrue; R2 :t138, hTrue; R3 :t249, hTrue; R4 :t273, hTrue; R5 :t273, hTrue; R6 :t249, hTrue; R7 :t286, hTrue; R8 :t286, hTrue; R9 :t344, hTrue; R10 :t286, hTrue; R11 :t286, hTrue; R12 :t286, hTrue; R13 :t286, hTrue; R14 :t286, hTrue; R15 :t286, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 17:14:27,580 - my_logger - DEBUG - Rank 9: R0 :t175, hTrue; R1 :t175, hTrue; R2 :t175, hTrue; R3 :t286, hTrue; R4 :t286, hTrue; R5 :t289, hTrue; R6 :t286, hTrue; R7 :t323, hTrue; R8 :t326, hTrue; R9 :t393, hTrue; R10 :t323, hTrue; R11 :t323, hTrue; R12 :t323, hTrue; R13 :t286, hTrue; R14 :t323, hTrue; R15 :t323, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 17:14:29,945 - my_logger - DEBUG - Rank 9: R0 :t175, hTrue; R1 :t212, hTrue; R2 :t175, hTrue; R3 :t323, hTrue; R4 :t323, hTrue; R5 :t323, hTrue; R6 :t286, hTrue; R7 :t360, hTrue; R8 :t360, hTrue; R9 :t442, hTrue; R10 :t360, hTrue; R11 :t323, hTrue; R12 :t323, hTrue; R13 :t323, hTrue; R14 :t347, hTrue; R15 :t323, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 17:14:32,301 - my_logger - DEBUG - Rank 9: R0 :t175, hTrue; R1 :t249, hTrue; R2 :t199, hTrue; R3 :t323, hTrue; R4 :t323, hTrue; R5 :t326, hTrue; R6 :t323, hTrue; R7 :t397, hTrue; R8 :t384, hTrue; R9 :t491, hTrue; R10 :t384, hTrue; R11 :t360, hTrue; R12 :t360, hTrue; R13 :t323, hTrue; R14 :t360, hTrue; R15 :t360, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 17:14:34,690 - my_logger - DEBUG - Rank 9: R0 :t175, hTrue; R1 :t286, hTrue; R2 :t212, hTrue; R3 :t323, hTrue; R4 :t360, hTrue; R5 :t360, hTrue; R6 :t323, hTrue; R7 :t397, hTrue; R8 :t397, hTrue; R9 :t540, hTrue; R10 :t397, hTrue; R11 :t360, hTrue; R12 :t360, hTrue; R13 :t360, hTrue; R14 :t360, hTrue; R15 :t360, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 17:14:37,084 - my_logger - DEBUG - Rank 9: R0 :t199, hTrue; R1 :t286, hTrue; R2 :t236, hTrue; R3 :t360, hTrue; R4 :t397, hTrue; R5 :t397, hTrue; R6 :t360, hTrue; R7 :t434, hTrue; R8 :t434, hTrue; R9 :t589, hTrue; R10 :t434, hTrue; R11 :t397, hTrue; R12 :t397, hTrue; R13 :t397, hTrue; R14 :t397, hTrue; R15 :t397, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 17:14:39,459 - my_logger - DEBUG - Rank 9: R0 :t212, hTrue; R1 :t310, hTrue; R2 :t249, hTrue; R3 :t360, hTrue; R4 :t397, hTrue; R5 :t397, hTrue; R6 :t360, hTrue; R7 :t471, hTrue; R8 :t471, hTrue; R9 :t638, hTrue; R10 :t471, hTrue; R11 :t397, hTrue; R12 :t434, hTrue; R13 :t397, hTrue; R14 :t397, hTrue; R15 :t434, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 17:14:41,871 - my_logger - DEBUG - Rank 9: R0 :t236, hTrue; R1 :t323, hTrue; R2 :t273, hTrue; R3 :t397, hTrue; R4 :t434, hTrue; R5 :t421, hTrue; R6 :t397, hTrue; R7 :t508, hTrue; R8 :t508, hTrue; R9 :t687, hTrue; R10 :t508, hTrue; R11 :t458, hTrue; R12 :t471, hTrue; R13 :t434, hTrue; R14 :t458, hTrue; R15 :t471, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 17:14:44,243 - my_logger - DEBUG - Rank 9: R0 :t249, hTrue; R1 :t323, hTrue; R2 :t286, hTrue; R3 :t421, hTrue; R4 :t434, hTrue; R5 :t434, hTrue; R6 :t397, hTrue; R7 :t532, hTrue; R8 :t545, hTrue; R9 :t736, hTrue; R10 :t545, hTrue; R11 :t471, hTrue; R12 :t508, hTrue; R13 :t471, hTrue; R14 :t471, hTrue; R15 :t508, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 17:14:46,597 - my_logger - DEBUG - Rank 9: R0 :t286, hTrue; R1 :t347, hTrue; R2 :t286, hTrue; R3 :t434, hTrue; R4 :t458, hTrue; R5 :t437, hTrue; R6 :t434, hTrue; R7 :t545, hTrue; R8 :t582, hTrue; R9 :t785, hTrue; R10 :t545, hTrue; R11 :t508, hTrue; R12 :t508, hTrue; R13 :t508, hTrue; R14 :t508, hTrue; R15 :t545, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 17:14:49,011 - my_logger - DEBUG - Rank 9: R0 :t286, hTrue; R1 :t360, hTrue; R2 :t286, hTrue; R3 :t434, hTrue; R4 :t471, hTrue; R5 :t458, hTrue; R6 :t434, hTrue; R7 :t582, hTrue; R8 :t582, hTrue; R9 :t834, hTrue; R10 :t582, hTrue; R11 :t508, hTrue; R12 :t545, hTrue; R13 :t508, hTrue; R14 :t508, hTrue; R15 :t545, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 17:14:51,397 - my_logger - DEBUG - Rank 9: R0 :t286, hTrue; R1 :t397, hTrue; R2 :t310, hTrue; R3 :t471, hTrue; R4 :t471, hTrue; R5 :t471, hTrue; R6 :t434, hTrue; R7 :t582, hTrue; R8 :t606, hTrue; R9 :t883, hTrue; R10 :t582, hTrue; R11 :t545, hTrue; R12 :t545, hTrue; R13 :t508, hTrue; R14 :t532, hTrue; R15 :t582, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 17:14:53,774 - my_logger - DEBUG - Rank 9: R0 :t310, hTrue; R1 :t397, hTrue; R2 :t323, hTrue; R3 :t471, hTrue; R4 :t471, hTrue; R5 :t474, hTrue; R6 :t458, hTrue; R7 :t606, hTrue; R8 :t619, hTrue; R9 :t932, hTrue; R10 :t619, hTrue; R11 :t545, hTrue; R12 :t582, hTrue; R13 :t545, hTrue; R14 :t545, hTrue; R15 :t582, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
